politician/institution,date,answer,pct_estimate,lo,hi
Supreme Court,2023-11-06,Disapprove,54.23455935954077,48.535524060193296,59.93359465888824
Supreme Court,2023-11-05,Approve,36.618968522330405,31.633528982752843,41.60440806190797
Supreme Court,2023-11-05,Disapprove,54.23455935954076,48.535524060193296,59.933594658888225
Supreme Court,2023-11-04,Approve,36.618968522330405,31.633528982752843,41.60440806190797
Supreme Court,2023-11-04,Disapprove,54.23455935954076,48.535524060193296,59.933594658888225
Supreme Court,2023-11-03,Approve,36.618968522330405,31.633528982752843,41.60440806190797
Supreme Court,2023-11-03,Disapprove,54.23455935954076,48.535524060193296,59.933594658888225
Supreme Court,2023-11-02,Approve,36.618968522330405,31.633528982752843,41.60440806190797
Supreme Court,2023-11-02,Disapprove,54.23455935954076,48.535524060193296,59.933594658888225
Supreme Court,2023-11-01,Approve,36.37938683248875,31.33111733592347,41.42765632905403
Supreme Court,2023-11-01,Disapprove,53.70695654432548,48.0317999523741,59.38211313627686
Supreme Court,2023-10-31,Approve,36.41339880260943,31.36512688934564,41.46167071587322
Supreme Court,2023-10-31,Disapprove,53.67082384522455,47.99566847355792,59.34597921689117
Supreme Court,2023-10-30,Approve,36.81244469468664,31.754409008146514,41.87048038122677
Supreme Court,2023-10-30,Disapprove,54.017456274903196,48.312130753268406,59.72278179653799
Supreme Court,2023-10-29,Approve,36.81244469468664,31.754409008146514,41.87048038122677
Supreme Court,2023-10-29,Disapprove,54.0174562749032,48.31213075326841,59.722781796537994
Supreme Court,2023-10-28,Approve,36.81244469468664,31.754409008146514,41.87048038122677
Supreme Court,2023-10-28,Disapprove,54.0174562749032,48.31213075326841,59.722781796537994
Supreme Court,2023-10-27,Approve,36.81244469468664,31.754409008146514,41.87048038122677
Supreme Court,2023-10-27,Disapprove,54.0174562749032,48.31213075326841,59.722781796537994
Supreme Court,2023-10-26,Approve,36.812245142298124,31.75419512395389,41.87029516064236
Supreme Court,2023-10-26,Disapprove,54.01745397393876,48.31211390458142,59.72279404329609
Supreme Court,2023-10-25,Approve,36.812245142298124,31.75419512395389,41.87029516064236
Supreme Court,2023-10-25,Disapprove,54.01745397393876,48.31211390458142,59.72279404329609
Supreme Court,2023-10-24,Approve,37.790909542037355,32.75891873935713,42.82290034471758
Supreme Court,2023-10-24,Disapprove,53.3246795336048,47.62450969143977,59.02484937576983
Supreme Court,2023-10-23,Approve,37.791378966667324,32.7593881639871,42.82336976934755
Supreme Court,2023-10-23,Disapprove,53.324207163905214,47.62403732174018,59.024377006070246
Supreme Court,2023-10-22,Approve,37.791378966667324,32.7593881639871,42.82336976934755
Supreme Court,2023-10-22,Disapprove,53.324207163905214,47.62403732174018,59.024377006070246
Supreme Court,2023-10-21,Approve,37.791378966667324,32.7593881639871,42.82336976934755
Supreme Court,2023-10-21,Disapprove,53.324207163905214,47.62403732174018,59.024377006070246
Supreme Court,2023-10-20,Approve,37.79137896666734,32.75938816398711,42.823369769347565
Supreme Court,2023-10-20,Disapprove,53.324207163905214,47.62403732174018,59.024377006070246
Supreme Court,2023-10-19,Approve,37.79184604999445,32.759855247316985,42.82383685267191
Supreme Court,2023-10-19,Disapprove,53.32373720351879,47.62356736583383,59.02390704120375
Supreme Court,2023-10-18,Approve,37.79184604999445,32.759855247316985,42.82383685267191
Supreme Court,2023-10-18,Disapprove,53.32373720351879,47.62356736583383,59.02390704120375
Supreme Court,2023-10-17,Approve,37.7713524070125,32.739361617350426,42.803343196674575
Supreme Court,2023-10-17,Disapprove,53.35939564253955,47.659227293429126,59.05956399164998
Supreme Court,2023-10-16,Approve,37.63445059806946,32.53580780241803,42.7330933937209
Supreme Court,2023-10-16,Disapprove,53.833779894890625,48.156010175646216,59.511549614135035
Supreme Court,2023-10-15,Approve,37.634450598069456,32.53580780241802,42.73309339372089
Supreme Court,2023-10-15,Disapprove,53.833779894890625,48.156010175646216,59.511549614135035
Supreme Court,2023-10-14,Approve,37.63445059806946,32.53580780241803,42.7330933937209
Supreme Court,2023-10-14,Disapprove,53.833779894890625,48.156010175646216,59.511549614135035
Supreme Court,2023-10-13,Approve,37.63445059806946,32.53580780241803,42.7330933937209
Supreme Court,2023-10-13,Disapprove,53.833779894890625,48.156010175646216,59.511549614135035
Supreme Court,2023-10-12,Approve,37.63445059806946,32.53580780241803,42.7330933937209
Supreme Court,2023-10-12,Disapprove,53.83377989489064,48.15601017564623,59.51154961413505
Supreme Court,2023-10-11,Approve,37.635172252908646,32.53651619351082,42.73382831230647
Supreme Court,2023-10-11,Disapprove,53.83344136639249,48.15565786162753,59.51122487115745
Supreme Court,2023-10-10,Approve,37.63366788323652,32.52130568248646,42.74603008398658
Supreme Court,2023-10-10,Disapprove,54.085845397051436,48.394397455935774,59.7772933381671
Supreme Court,2023-10-09,Approve,38.77696363258988,33.14984196614853,44.40408529903124
Supreme Court,2023-10-09,Disapprove,53.30859544015743,47.170155385730425,59.44703549458444
Supreme Court,2023-10-08,Approve,38.77696363258988,33.14984196614853,44.40408529903124
